iter	RMSE
0	8.75288557
1	6.324249441
2	5.68984823
3	4.962688704
4	4.901372755
5	4.893917988
6	4.877123268
7	4.746130715
8	4.394244766
9	3.982217274
10	3.952123656
11	3.951472745
12	3.900152714
13	3.852290914
14	3.852064928
15	3.840882571
16	3.827766545
17	3.6585528
18	3.613369247
19	3.525402275
20	3.523330074
21	3.500875404
22	3.500616429
23	3.498269425
24	3.466577863
25	3.382988803
26	3.376642734
27	3.374772805
28	3.345240853
29	3.343120149
30	3.31383319
31	3.313013131
32	3.311481021
33	3.310298864
34	3.234700322
35	3.233017302
36	3.23078893
37	3.221402113
38	3.216393141
39	3.186719226
40	3.179382798
41	3.160089748
42	3.149876564
43	3.147938242
44	3.137713566
45	3.136843987
46	3.058855578
47	3.058700619
48	3.021870811
49	3.013845545
50	3.009191495
51	2.980670448
52	2.965590672
53	2.961433474
54	2.954008649
55	2.930793431
56	2.929743964
57	2.895119557
58	2.888237501
59	2.805464357
60	2.799602647
61	2.798275413
62	2.797372271
63	2.796467397
64	2.734860352
65	2.717072972
66	2.713722188
67	2.708506352
68	2.70804209
69	2.67910326
70	2.678438977
71	2.659591497
72	2.656506692
73	2.626710677
74	2.609971428
75	2.604222174
76	2.595234735
77	2.587485226
78	2.560497356
79	2.556522167
80	2.553455183
81	2.552895113
82	2.538056316
83	2.537025538
84	2.536826505
85	2.522193072
86	2.522120149
87	2.511388347
88	2.497839826
89	2.489298561
90	2.488962257
91	2.487724497
92	2.480619277
93	2.476673566
94	2.476510703
95	2.466945775
96	2.465237019
97	2.457268991
98	2.44382962
99	2.442766855
