iter	Passed	Remaining
0	7	783
1	14	715
2	20	678
3	27	654
4	33	638
5	42	658
6	48	648
7	55	639
8	63	637
9	70	633
10	77	629
11	83	610
12	88	592
13	93	576
14	99	562
15	104	551
16	109	536
17	115	526
18	121	518
19	127	508
20	133	503
21	139	494
22	145	486
23	150	477
24	156	469
25	162	463
26	169	457
27	175	450
28	180	441
29	185	433
30	190	424
31	195	415
32	200	406
33	206	400
34	212	395
35	236	420
36	243	413
37	248	404
38	252	395
39	258	387
40	263	378
41	268	370
42	273	362
43	278	354
44	283	345
45	288	338
46	292	330
47	297	322
48	302	315
49	308	308
50	313	301
51	318	294
52	323	287
53	328	280
54	334	273
55	339	267
56	344	260
57	349	253
58	354	246
59	359	239
60	364	232
61	369	226
62	374	219
63	379	213
64	383	206
65	388	200
66	394	194
67	400	188
68	406	182
69	416	178
70	426	174
71	436	169
72	444	164
73	452	158
74	459	153
75	468	148
76	476	142
77	484	136
78	492	130
79	500	125
80	508	119
81	516	113
82	525	107
83	533	101
84	541	95
85	547	89
86	553	82
87	559	76
88	564	69
89	569	63
90	574	56
91	579	50
92	584	43
93	589	37
94	594	31
95	599	24
96	603	18
97	608	12
98	614	6
99	620	0
